case_no,employer_name,employer_city,employer_state,case_status,last_event_date,n_certified,agent_name
H-300-14241-977779,K&W ENTERPRISES,ALBION,NY,DETERMINATION ISSUED - WITHDRAWN,2014-09-23,0,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14289-662058,MIDDLETON FARMS,MOBILE,AL,DETERMINATION ISSUED - CERTIFICATION,2014-11-04,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14289-434595,WALTER P. RAWL & SONS INC,PELION,SC,DETERMINATION ISSUED - CERTIFICATION,2014-11-13,60,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14316-563298,JDS NURSERY LLC,LUCEDALE,MS,DETERMINATION ISSUED - CERTIFICATION,2014-11-25,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14316-878079,JE COOLEY FARMS INC,CHESNEE,SC,DETERMINATION ISSUED - CERTIFICATION,2014-11-26,100,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14325-474986,"TAS, INC",IRVINGTON,AL,DETERMINATION ISSUED - DENIED,2014-12-03,0,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14325-256515,BIG CREEK NURSERY,WILMER,AL,DETERMINATION ISSUED - CERTIFICATION,2014-12-08,10,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14325-518106,MURRAY'S NURSERY,MOSS POINT,MS,DETERMINATION ISSUED - CERTIFICATION,2014-12-09,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:WARREN WICKER
H-300-14332-357793,C.S MCLEOD FARMS INC,MCBEE,SC,DETERMINATION ISSUED - CERTIFICATION,2014-12-16,100,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14343-417819,SAUL FAMILY PARTNERSHIP,DES ARC,AR,DETERMINATION ISSUED - CERTIFICATION,2014-12-18,12,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14332-255278,"TAS, INC D/B/A COTTAGE HILL NURSERY INC",IRVINGTON,AL,DETERMINATION ISSUED - CERTIFICATION,2014-12-29,52,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14338-169573,POPE'S PLANT FARM INC,GREENBACK,TN,DETERMINATION ISSUED - CERTIFICATION,2014-12-29,36,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14350-586060,"THOMPSON FARMS, INC.",LUCEDALE,MS,DETERMINATION ISSUED - CERTIFICATION,2014-12-30,12,NATIONAL AGRICULTURAL CONSULTANTS LLC:WARREN WICKER
H-300-14343-669359,"OAK HILL TREE FARM, LLC",GRAND BAY,AL,DETERMINATION ISSUED - CERTIFICATION,2014-12-31,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14350-822667,THE WILBANKS APIARIES INC,CLAXTON,GA,DETERMINATION ISSUED - CERTIFICATION,2015-01-02,12,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14350-950439,MCCULLAR PEACH ORCHARDS,BATESVILLE,MS,DETERMINATION ISSUED - CERTIFICATION,2015-01-02,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
